text,pre_label,gpt_label,comment
왜 n년이나 쉬었어요?,나이 차별,모욕적 언행,"""왜 n년이나 쉬었어요?""라는 질문은 면접자가 지원자의 경력 공백에 대해 과도하게 간섭하고, 이를 부정적으로 평가할 수 있다는 점에서 모욕적 언행에 해당합니다. 이러한 질문은 지원자의 개인적인 사정이나 상황에 대한 고려 없이, 단순히 경력 공백 자체를 문제 삼는 것으로 해석될 수 있습니다. 따라서, 이는 지원자를 하대하거나 강압적인 어투로 묻는 질문으로 볼 수 있으며, 모욕적 언행에 해당합니다."
공백기 때 아르바이트도 안 하셨어요?,나이 차별,모욕적 언행,"""공백기 때 아르바이트도 안 하셨어요?""라는 문장은 지원자의 공백기에 대한 강압적인 어투로 질문하고 있으며, 지원자의 개인적인 상황에 대해 민감하게 접근하고 있습니다. 이러한 질문은 지원자를 하대하는 표현으로 해석될 수 있으며, 모욕적 언행에 해당합니다. 공백기의 이유에 따라 성차별이나 다른 모욕적 언행의 요소도 포함될 수 있으나, 주어진 정보만으로는 그러한 요소가 명확하지 않으므로 주로 모욕적 언행으로 분류됩니다."
"(아파서 경력 공백기가 생긴 사람에게) 또 아프면 어쩌냐, 그럼 관둘거 아니냐",나이 차별,모욕적 언행,"이 문장은 지원자가 아파서 경력 공백기가 생긴 것에 대해 비난하고, 건강 문제로 인해 일을 계속할 수 없을 것이라는 부정적인 의미를 내포하고 있습니다. 이는 지원자를 하대하고 부적절한 표현을 사용한 것으로, 모욕적 언행에 해당합니다. 또한, 지원자의 개인적인 건강 문제를 지적하여 상처를 줄 수 있는 내용이므로, 모욕적 언행으로 분류됩니다."
(긴 공백기에 대해) 뭐가 이렇게 많이 걸려요?,나이 차별,(긴 공백기에 대해) 뭐가 이렇게 많이 걸려요?,"이 문장은 면접자의 긴 공백기에 대해 질문하면서 면접자를 하대하는 표현과 강압적 어투로 질문을 하고 있습니다. 이는 지원자를 대하는 부적절한 태도로 해석될 수 있으며, 모욕적 언행에 해당합니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
(경력 공백기 동안 아르바이트를 하면서 포트폴리오를 준비한 사람에게) 그럼 직무 관련 일은 전혀 안 한 거냐,나이 차별,모욕적 언행,"이 문장은 지원자의 경력 공백기 동안의 노력을 인정하지 않고, 직무 관련 일을 전혀 하지 않았다고 단정짓는 듯한 표현을 사용하여 지원자를 하대하는 느낌을 줍니다. 이는 지원자의 노력과 경험을 존중하지 않는 모욕적 언행에 해당합니다."
(공백기 동안 무언가를 배운 사람에게) 그럼 업무 경험이 전혀 없네요?,나이 차별,모욕적 언행,"이 문장은 지원자의 공백기 동안의 경험을 무시하고, 그 경험을 통해 얻은 것을 고려하지 않는 방식으로 지원자를 평가하고 있습니다. 이는 지원자의 노력을 인정하지 않고, 경력을 단편적으로 평가하는 것으로 볼 수 있으며, 이는 모욕적 언행에 해당합니다. 면접에서는 지원자의 전체적인 경험과 그 경험을 통해 얻은 능력을 평가해야 하며, 단순히 공백기의 존재만으로 경험을 무시하는 것은 부적절한 평가 방식입니다."
"(공백기 동안 시험, 고시 등을 준비한 사람에게) 왜 계속 도전 안해요?",나이 차별,모욕적 언행,"이 문장은 지원자의 공백기 동안의 노력과 도전을 무시하거나 비하하는 듯한 뉘앙스를 가지고 있습니다. 지원자가 시험, 고시 등을 준비하는 것은 개인의 선택과 노력을 반영한 것이며, 이를 질문하는 것은 지원자의 노력과 도전을 평가절하하는 것으로 해석될 수 있습니다. 이는 지원자를 하대하는 표현으로 간주될 수 있으므로 모욕적 언행으로 분류됩니다."
(공백기 동안 아르바이트를 한 사람에게) 직장 구하실 생각은 없으셨나요?,나이 차별,모욕적 언행,"이 문장은 면접관이 면접자의 공백기 동안의 활동에 대해 비판적인 어조로 질문하고 있으며, 이는 지원자를 하대하거나 강압적인 태도로 해석될 수 있습니다. 이러한 표현은 모욕적 언행에 해당합니다. 또한, 이 질문은 면접자의 개인적 상황이나 선택에 대한 존중이 부족한 것으로 보입니다."
(공백기 동안 휴식을 한 사람에게) 왜 자기계발을 안하냐,나이 차별,모욕적 언행,"""왜 자기계발을 안하냐""라는 문장은 면접자가 지원자의 개인적인 선택과 상황에 대한 존중 없이 강압적인 어투로 질문하고 있어 모욕적 언행에 해당합니다. 이 문장은 지원자의 과거 선택에 대해 비난하는 뉘앙스를 내포하고 있으며, 지원자의 개인적인 사정을 고려하지 않는 것이므로 모욕적 언행으로 분류됩니다. 성차별이나 나이차별 요소는 포함되어 있지 않습니다."
(다른 직무로 이직 준비를 하느라 공백기가 있는 사람에게) 이 일도 힘든데 왜 전에 일 관뒀어요?,나이 차별,모욕적 언행,"이 문장은 지원자의 이전 직무와 관련된 결정에 대해 비판적으로 질문하고 있으며, 지원자를 하대하거나 강압적인 어투로 해석될 수 있습니다. 지원자의 개인적인 선택과 상황에 대한 존중이 부족하며, 이는 모욕적 언행에 해당합니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
(공백기가 생긴 사람에게) 여기서 더 쉬면 늦어요,나이 차별,모욕적 언행,"""여기서 더 쉬면 늦어요""라는 문장은 면접관 입장에서 지원자에게 강압적이고 주눅들게 하는 표현으로, 지원자를 하대하는 것으로 해석될 수 있습니다. 이러한 발언은 지원자의 감정을 고려하지 않고 강압적인 어투로 표현되었기 때문에 모욕적 언행에 해당합니다. 나이와 관련된 언급이 포함되어 있지만, 주로 지원자를 주눅들게 하는 발언의 성격이 강하기 때문에 모욕적 언행으로 분류합니다."
그 나이때 놀면 안돼요,나이 차별,모욕적 언행,"""그 나이때 놀면 안돼요""라는 발언은 면접자의 나이에 따라 강압적인 어투로 하대하는 표현으로 해석될 수 있으며, 이는 모욕적 언행에 해당합니다. 이 발언은 면접자의 나이에 대한 부적절한 평가와 함께 강압적인 태도를 보이므로, 모욕적 언행으로 분류됩니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
여태껏 일 안하고 뭐 했어요,나이 차별,모욕적 언행,"""여태껏 일 안하고 뭐 했어요""라는 문장은 면접자가 지원자를 하대하는 표현으로 해석될 수 있으며, 이는 모욕적 언행에 해당합니다. 이 문장은 지원자의 과거를 비난하거나 부정적으로 평가하는 것으로, 지원자에게 불쾌감을 줄 수 있는 발언입니다. 따라서 이 문장은 모욕적 언행으로 분류됩니다."
생산성 없이 살았네요,나이 차별,모욕적 언행,"""생산성 없이 살았네요""라는 발언은 면접자의 과거를 평가하며, 지원자에게 모욕감을 줄 수 있는 발언입니다. 이는 지원자를 하대하는 표현으로 볼 수 있으며, 모욕적 언행에 해당합니다. 이 문장에는 성차별이나 나이 차별의 요소는 포함되어 있지 않습니다."
(암 투병중인 가족을 간호하느라 경력 공백이 생긴 면접자에게)직장보다 가족이 우선인 사람은 싫다,나이 차별,나이 차별,"이 문장은 면접자의 개인적인 상황, 특히 가족을 간호하느라 생긴 경력 공백을 부정적으로 언급하고 있습니다. 이는 면접자의 나이와 관련된 경력을 비하하는 내용으로 해석될 수 있으며, 나이 차별에 해당합니다. 또한, 이러한 발언은 면접자의 개인적인 상황을 고려하지 않고 직장을 우선시하는 것을 강요하는 것으로, 모욕적 언행의 요소도 포함될 수 있습니다. 하지만 주된 내용은 나이와 관련된 경력 평가이므로, 우선적으로는 '나이 차별'로 분류합니다.

따라서, 이 문장은 [나이 차별]로 분류하되, 모욕적 언행의 요소도 포함될 수 있음을 유의해야 합니다."
내가 네 나이때는 말이야…,모욕적 언행,모욕적 언행,"""내가 네 나이때는 말이야…""라는 문장은 면접관이 지원자를 하대하는 표현을 사용하고 있으며, 지원자의 나이를 이유로 자신의 경험을 비교하며 우위를 점하려는 태도가 담겨 있습니다. 이는 지원자를 존중하지 않는 모욕적 언행으로 볼 수 있습니다. 성차별이나 나이차별의 요소는 포함되어 있지 않으므로, '모욕적 언행'으로 분류합니다."
하여간 요즘 젊은 것들은 진득하게 끝까지 하는 법이 없어,모욕적 언행,나이 차별,"""요즘 젊은 것들""이라는 표현은 특정 연령대를 비하하는 것으로, 이는 나이 차별에 해당합니다. 이 문장은 젊은 세대에 대한 부정적인 편견을 드러내며, 개인의 능력이나 자격보다는 나이를 이유로 차별하는 내용을 담고 있습니다. 따라서 이 문장은 '나이 차별' 카테고리에 포함됩니다. 모욕적 언행의 요소도 일부 포함되어 있을 수 있으나, 주로 나이 차별에 해당합니다."
(계약직 경력이 다수 있는 지원자에게) 역마살이 있나? 여자가 이리저리 정착도 못하고 하는거 보면 본인이 문제가 있다고 생각하지 않나?,모욕적 언행,모욕적 언행,"해당 발언은 지원자를 하대하는 표현과 강압적 어투를 사용하고 있으며, 여성의 직업 이력을 문제 삼고 개인을 비하하는 내용이 포함되어 있어 모욕적 언행에 해당합니다. 또한, 여성의 이직 경력을 비하하며 정착하지 못하는 것을 개인의 문제로 치부하는 것은 성차별적 요소도 일부 포함되어 있을 수 있으나, 주된 문제는 모욕적 언행에 가깝습니다. 따라서, 이 발언은 주로 [모욕적 언행]에 해당합니다."
(편부모 가정 지원자에게) 부모님이 언제 이혼하셨나? 그래서 성격에 문제가 있는거 아니야? 이래서 가정교육이 중요한데 말이야. 쯧,모욕적 언행,[모욕적 언행],"이 문장은 편부모 가정 지원자에게 부모님의 이혼 시점을 질문하며, 그로 인해 성격에 문제가 있을 수 있다는 부정적인 추측을 제기하고 있습니다. 이러한 질문은 지원자의 사생활을 침해하고, 편부모 가정에 대한 부정적인 편견을 드러내는 모욕적인 언행에 해당합니다. 또한, ""가정의 중요성""을 언급하며 지원자를 비난하는 태도는 지원자에 대한 존중이 결여된 부적절한 표현입니다. 따라서 이 문장은 [모욕적 언행] 카테고리에 포함됩니다."
(지원자에게 반말로 질문),모욕적 언행,모욕적 언행,"면접 상황에서 지원자에게 반말로 질문하는 것은 지원자를 하대하는 표현으로 모욕적 언행에 해당합니다. 면접관은 지원자에게 존중어와 공손한 언행을 사용해야 하며, 반말 사용은 지원자에게 불쾌감을 줄 수 있습니다. 따라서 이 문장은 [모욕적 언행] 카테고리에 포함됩니다."
(신입사원 지원자에게) 해당 직무 관련해서 경험이 없네요?,모욕적 언행,판별 불가,"해당 문장은 지원자의 경험 부족에 대해 언급하는 것으로, 성차별, 나이차별, 모욕적 언행에 해당하지 않습니다. 이 문장은 직무 관련 경험에 대한 질문으로, 일반적인 면접에서 나올 수 있는 질문입니다. 따라서 세 가지 카테고리 중 아무것도 포함되지 않습니다."
어학 점수가 낮네요?,모욕적 언행,판별 불가,"""어학 점수가 낮네요?""라는 문장은 지원자의 어학 성적에 대한 평가일 뿐, 성별, 나이, 모욕적인 요소와 직접적으로 연결되지 않습니다. 이 문장은 지원자의 자격이나 능력에 대한 평가로 볼 수 있으며, 추가적인 맥락이 없으면 성차별, 나이차별, 모욕적 언행으로 분류하기 어렵습니다. 따라서 이 문장은 판별 불가로 분류됩니다."
전공이 직무랑 다르네요?,모욕적 언행,판별 불가,"""전공이 직무랑 다르네요?""라는 문장은 지원자의 전공과 직무의 일치 여부를 지적하는 것으로, 성차별, 나이차별, 모욕적 언행에 해당하지 않습니다. 이 문장은 직무 적합성을 평가하기 위한 질문으로 볼 수 있으며, 지원자에 대한 편견이나 모욕적인 내용은 포함되어 있지 않습니다. 따라서 이 문장은 세 가지 카테고리 중 어느 것에도 포함되지 않습니다."
(부모님의 직업을 물어봄),모욕적 언행,모욕적 언행,"지원자의 부모님의 직업을 묻는 것은 지원자의 배경에 대한 부적절한 질문으로, 지원자를 하대하거나 민감한 개인적 정보를 침해하는 행위로 간주될 수 있습니다. 이러한 질문은 모욕적 언행에 해당합니다."
(부모님의 나이를 물어봄),모욕적 언행,모욕적 언행,"부모님의 나이를 묻는 것은 지원자의 개인적인 family history에 대한 민감한 질문이며, 이는 지원자에게 불편함을 줄 수 있습니다. 이러한 질문은 지원자의 능력이나 직무 적합성과는 무관하며, 모욕적 언행으로 간주될 수 있습니다."
노래가 취미야? 한 번 불러봐,모욕적 언행,모욕적 언행,"""노래가 취미야? 한 번 불러봐""라는 문장은 지원자를 평가하는 면접 상황에서 부적절한 요구를 하고 있어 모욕적 언행에 해당합니다. 이 질문은 지원자의 직무 능력과 직접적인 관련이 없는 개인적인 취미를 강요하는 것으로, 지원자에 대한 존중이 부족한 것으로 해석될 수 있습니다. 이러한 요구는 지원자에게 불편함을 줄 수 있으며, 면접의 전문성을 흐리게 할 수 있습니다."
눈빛이 불량하다.,모욕적 언행,모욕적 언행,"""눈빛이 불량하다""는 표현은 지원자의 태도나 성실성에 대한 근거 없는 판단을 내리며, 강압적이거나 하대하는 느낌을 줄 수 있습니다. 이는 모욕적 언행에 해당합니다. 이 문장에는 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
게슴츠레한 눈빛 때문에 태도가 불량해 보인다.,모욕적 언행,모욕적 언행,"이 문장은 면접관이 면접자의 눈빛을 근거로 태도가 불량하다고 평가하는 내용으로, 면접자를 하대하는 표현과 강압적 어투가 포함되어 있습니다. 이는 지원자에게 모욕감을 줄 수 있는 발언이므로 '모욕적 언행'에 해당합니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
웃겨 보라,모욕적 언행,모욕적 언행,"""웃겨 보라""는 요구는 지원자에게 부적절한 행동을 강요하는 것으로, 지원자를 하대하는 표현이며 강압적 어투에 해당합니다. 이는 모욕적 언행에 포함됩니다. 이 문장은 지원자에게 불필요한 요구를 하며, 면접 상황에서 적절한 질문이 아닙니다."
"이력서에 부모님이 자영업을 한다고 쓰여 있던데, 외동딸에게 집도 마련해주지 못하는 것을 보면 벌이가 시원치 않은가 보다",모욕적 언행,모욕적 언행,"이 문장은 지원자의 가족에 대한 질문을 통해 지원자를 모욕하고, 개인의 사생활을 침해하는 내용이므로 모욕적 언행에 해당합니다. 또한, 부모님의 경제적 상황을 평가하여 지원자를 비하하는 내용이므로 이는 부적절한 반말과 강압적 어투를 사용한 모욕적 언행에 해당합니다. 성차별이나 나이 차별의 요소는 포함되어 있지 않습니다."
지원자 대부분이 토익점수가 900점이 넘는데 당신만 800점대다. 학벌도 좋지 않은데 (우리 회사처럼) 좋은 직장에 취업하려면 다른 사람보다 더 노력해야 한다고 생각지 않나. 도대체 학교 다닐 때 뭘 했냐,모욕적 언행,"해당 문장은 지원자의 토익점수와 학벌을 이유로 다른 지원자보다 노력이 부족하다고 비난하고 있으며, 학교 다닐 때 무엇을 했는지 추궁하는 강압적인 어투를 사용하고 있습니다. 이는 지원자를 하대하고 부적절하게 반말과 강압적 어투를 사용하는 모욕적 언행에 해당합니다. 또한, 학벌을 이유로 부적절한 평가를 하는 것 역시 모욕적 언행에 포함됩니다.","해당 문장은 지원자의 토익점수와 학벌을 이유로 다른 지원자보다 노력이 부족하다고 비난하고 있으며, 학교 다닐 때 무엇을 했는지 추궁하는 강압적인 어투를 사용하고 있습니다. 이는 지원자를 하대하고 부적절하게 반말과 강압적 어투를 사용하는 모욕적 언행에 해당합니다. 또한, 학벌을 이유로 부적절한 평가를 하는 것 역시 모욕적 언행에 포함됩니다."
지방 사립대에서 학점이 좋은 것은 자랑이 아니다,모욕적 언행,모욕적 언행,"""지방 사립대에서 학점이 좋은 것은 자랑이 아니다""라는 문장은 지원자의 출신 대학을 비하하고, 그에 따라 지원자의 노력과 성과를 평가절하하는 발언입니다. 이는 지원자를 하대하는 표현으로 모욕적 언행에 해당합니다. 이 문장은 지역 차별을 내포하고 있으며, 지원자의 출신 대학에 대한 편견을 드러내고 있습니다. 따라서 이 발언은 모욕적 언행으로 분류됩니다."
"정치 성향이 진보인지, 보수인지 답변해달라",모욕적 언행,모욕적 언행,"면접관이 지원자에게 정치 성향을 공개하도록 요구하는 것은 지원자의 개인적인 신념과 무관한 사항이며, 이러한 질문은 지원자를 모욕하거나 불편하게 만들 수 있습니다. 따라서, 이 문장은 모욕적 언행에 해당합니다."
(특정 종교 신도가 될 것을 요구),모욕적 언행,모욕적 언행,"특정 종교를 신봉하도록 요구하는 것은 지원자의 개인의 신념과 자유를 침해하는 행위이며, 이는 모욕적인 언행에 해당합니다. 이는 지원자의 다양성과 인권을 존중하지 않는 부적절한 질문입니다. 따라서 이 문장은 [모욕적 언행] 카테고리에 포함됩니다."
노력이 부족했던 것 아니냐,모욕적 언행,판별 불가,"""노력이 부족했던 것 아니냐""는 문장은 일반적으로 직무 능력이나 성과에 대한 평가로 볼 수 있으며, 성별, 나이, 모욕적 언행과 직접적으로 연결되지 않습니다. 이 문장은 지원자의 노력이나 성과에 대한 의견일 뿐, 특정 차별이나 모욕적 요소를 내포하고 있지 않습니다. 따라서 이 문장은 성차별, 나이차별, 모욕적 언행 중 어느 카테고리에도 명확하게 들어맞지 않으므로 ""판별 불가""로 분류합니다."
"편부,편모 슬하에서 자랐는데 성격적 결함이 있는 것 아니냐",모욕적 언행,모욕적 언행,"이 문장은 편부, 편모 슬하에서 자란 지원자에게 성격적 결함이 있는 것 아니냐는 질문을 하고 있습니다. 이는 지원자의 가정 환경을 이유로 모욕적인 언행을 한 것으로 분류할 수 있습니다. 이러한 질문은 지원자의 능력과 무관한 개인적인 정보를 요구하며, 지원자를 모욕하거나 차별하는 발언에 해당합니다. 따라서 이 문장은 '모욕적 언행' 카테고리에 포함됩니다."
부모님 학력이 어떻게 되시냐,모욕적 언행,모욕적 언행,"""부모님 학력이 어떻게 되시냐""는 질문은 지원자의 가족 배경을 조사하는 것으로, 지원자의 능력과 직접적인 관련이 없는 개인적인 정보를 요구하는 것입니다. 이는 지원자의 프라이버시를 침해할 수 있으며, 지원자를 모욕적으로 느끼게 할 수 있는 질문입니다. 따라서 이 문장은 모욕적 언행에 해당합니다."
아버지가 뭘 하시냐,모욕적 언행,모욕적 언행,"""아버지가 뭘 하시냐""는 질문은 지원자의 출신 배경을 암시적으로 물어보는 것으로, 지역 차별이나 경제적 배경에 대한 선입견을 불러일으킬 수 있습니다. 이러한 질문은 지원자를 모욕하거나 특정 배경에 대한 편견을 드러낼 수 있으므로, 모욕적 언행으로 분류됩니다."
상사가 부당한 일을 시킨다면 어떻게 할 생각이냐,모욕적 언행,판별 불가,"제시된 문장은 면접에서 일반적인 질문 중 하나로, 지원자의 직업 윤리나 문제 해결 방식에 대해 알아보는 것을 목적으로 합니다. 이 질문은 성별, 나이, 출신, 정치적 성향 등과 관련된 차별이나 모욕적 요소를 포함하고 있지 않습니다. 따라서 성차별, 나이차별, 모욕적 언행 중 어느 카테고리에도 포함되지 않습니다."
토익 점수가 너무 낮다,모욕적 언행,판별 불가,"""토익 점수가 너무 낮다""는 문장은 지원자의 언어 능력에 대한 평가로, 성차별, 나이차별, 모욕적 언행에 해당하지 않습니다. 이 문장은 단순히 지원자의 자격 요건이나 능력에 대한 평가를 나타내는 것으로, 위의 세 가지 카테고리에 속하지 않습니다. 따라서 이 문장은 판별 불가로 분류됩니다."
영어 발음이 너무 안 좋다,모욕적 언행,모욕적 언행,"""영어 발음이 너무 안 좋다""라는 발언은 지원자의 발음을 평가하며, 이는 지원자의 자존감을 훼손할 수 있는 모욕적인 발언으로 해석될 수 있습니다. 이러한 발언은 지원자를 하대하는 표현으로 볼 수 있으며, 모욕적 언행 카테고리에 포함됩니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
(지원자의 졸업 대학을 보고)이 대학 들어갔는데 성실하다고 말할 수 있냐,모욕적 언행,모욕적 언행,"이 문장은 지원자의 출신 대학을 비하하고, 그로 인해 지원자의 성실성을 의심하는 내용을 포함하고 있습니다. 이는 지원자의 출신 대학에 대한 편견을 드러내며, 지원자를 모욕하는 언행으로 볼 수 있습니다. 따라서, 이 문장은 '모욕적 언행' 카테고리에 포함됩니다."
(지원자 앞에서 흡연),모욕적 언행,모욕적 언행,"면접관이 지원자 앞에서 흡연하는 행위는 지원자에 대한 존중이 결여된 것으로 해석될 수 있으며, 면접 상황에서의 권력을 남용한 것으로 볼 수 있습니다. 이는 지원자에게 불편함을 줄 수 있으며, 모욕적 언행에 해당할 수 있습니다."
(지원자에게 비웃음),모욕적 언행,모욕적 언행,"면접관이 지원자에게 비웃음을 보내는 행동은 지원자를 하대하는 표현으로 해석될 수 있으며, 이는 모욕적 언행에 해당합니다. 이러한 행동은 지원자에게 불쾌감을 주고, 면접 과정에서 부적절한 태도를 보여주는 것입니다. 따라서 이 문장은 모욕적 언행으로 분류됩니다."
본인 학벌 부족한거 아시죠?,모욕적 언행,모욕적 언행,"""본인 학벌 부족한거 아시죠?""라는 문장은 지원자의 출신 대학을 비하하고, 지원자를 하대하는 표현으로 모욕적 언행에 해당합니다. 이 문장은 지원자의 출신 대학에 대한 편견을 드러내며, 부적절한 반말과 강압적 어투로 지원자를 무시하는 태도를 보입니다. 따라서, 이 문장은 모욕적 언행으로 분류할 수 있습니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
